Algorithm,mae,mse,mape,r2,error_mean,error_std_dev,adjuste_r2
CART,1942.4621,15163432.0755,5.9639,0.9497,1942.4621,3374.9479,0.817
RandomForest,1591.8629,8506249.9786,4.9645,0.9718,1591.8629,2443.8131,0.8973
SVR,10530.8332,306042296.0176,33.0875,-0.0157,10530.8332,13969.3896,-2.6932
ANN,1796.7462,9470778.3806,5.6078,0.9686,1796.7462,2498.4959,0.8857
