Algorithm,accuracy,precision,recall,f1,roc_auc
CART,0.6987,0.7011,0.6987,0.6994,
RandomForestClassifier,0.7144,0.7168,0.7144,0.7144,
SVC,0.6638,0.6714,0.6638,0.6622,
Naive bayes,0.4874,0.5779,0.4874,0.4701,
ANN,0.679,0.6784,0.679,0.6779,
